PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO440788,CHILD AND FAMILY SERVICES,MEDICAL CONSULTING 78,$38480.00,10/01/2012,LAKIESHA HARDY,3813 SWANN ROAD #103   ; SUITLAND  ; MD  ; 20746-,SUITLAND  ,MD
PO444310,OFFICE OF ADMINISTRATIVE HEARINGS,TRANSCRIPTION SERVICES: LEGAL AND MEDICAL 72,$39332.25,10/10/2012,NEAL R GROSS & CO INC,1323 RHODE ISLAND AVE NW   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO444081,OFFICE OF ZONING,COURT REPORTING SERVICES 24,$90000.00,10/10/2012,NEAL R GROSS & CO INC,1323 RHODE ISLAND AVE NW   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO444379,DEPART OF YOUTH REHABILITATION SERVICES,,$3225.00,10/10/2012,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO444083,DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT,"OFFICE SUPPLIES, GENERAL 00",$3500.00,10/10/2012,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO444375,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$10000.00,10/10/2012,MIZELL TRAVEL AGENCY,"SUITE 1                                            6412 LUZON AVENUE, N.W.  ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO444335,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$4500.00,10/10/2012,GROWING TOGETHER,9023 FLOWER AVE.  ; SILVER SPRING  ; MD  ; 20901,SILVER SPRING  ,MD
PO444138,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$67621.01,10/10/2012,ETHIOPIAN COMMUNITY CENTER INC,7603 GEORGIA AVENUE NW                             SUITE 100  ; WASHINGTON  ; DC  ; 20012,WASHINGTON  ,DC
PO444098,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$45785.01,10/10/2012,ETHIOPIAN COMMUNITY CENTER INC,7603 GEORGIA AVENUE NW                             SUITE 100  ; WASHINGTON  ; DC  ; 20012,WASHINGTON  ,DC
PO444089,DC PUBLIC LIBRARY,ELECTRICAL 38,$50000.00,10/10/2012,UNITED GENERAL CONTRACTOR,"606 B RHODE ISLAND AVENUE, NE   ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO444099,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$48509.65,10/10/2012,SOUTHEAST MINISTRY,"3111 MARTIN LUTHER KING, JR. AVENUE, SE  ; WASHINGTON  ; DC  ; 20032-",WASHINGTON  ,DC
PO443806,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$45437.00,10/10/2012,BREAD FOR THE CITY,"1525 7TH ST., NW   ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO441974,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$37430.00,10/10/2012,BREAD FOR THE CITY,"1525 7TH ST., NW   ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO444324,DEPARTMENT ON DISABILITY SERVICES,MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55,$48245.60,10/10/2012,MAXIM HEALTHCARE SVCS,9525 GEORGIA AVE                                   101  ; SILVER SPRING  ; MD  ; 20910,SILVER SPRING  ,MD
PO444115,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$45000.00,10/10/2012,"PERRY SCHOOL COMMUNITY SERVICES CENTER, INC.","128 M. STREET, NW SUITE 100  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO444340,DEPARTMENT OF HUMAN SERVICES,HOMELESSNESS PREVENTION SERVICES 55,$2068000.00,10/10/2012,"HOUSING COUNSELING SERVICES, I",2410-17TH ST NW SUITE 100  ; WASHINGTON  ; DC  ; 20009-,WASHINGTON  ,DC
PO444117,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$36475.32,10/10/2012,NATL. ORG. OF CONCERNED,"BLACK MEN 1313 L STREET, NW, STE 111  ; WASHINGTON  ; DC  ; 20005-",WASHINGTON  ,DC
PO444147,DEPARTMENT OF CORRECTIONS,"POSTAGE STAMP VENDING MACHINES, ACCESSORIES, AND SUPPLIES 81",$70000.00,10/10/2012,UNITED STATES POSTAL SERVICE,2833 ALABAMA AVE. SE P.O.BOX 31158  ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO444119,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$77634.10,10/10/2012,"LANGUAGE,ETC...",2200 CALIFORNIA ST NW   ; WASHINGTON  ; DC  ; 20008-,WASHINGTON  ,DC
PO444107,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$45798.10,10/10/2012,"LANGUAGE,ETC...",2200 CALIFORNIA ST NW   ; WASHINGTON  ; DC  ; 20008-,WASHINGTON  ,DC
PO444339,DEPARTMENT OF HUMAN SERVICES,HOMELESSNESS PREVENTION SERVICES 55,$2175000.00,10/10/2012,THE COMMUNITY PARTNERSHIP\HOME,801 PENNSYLVANIA AVE SE 360  ; WASHINGTON  ; DC  ; 20003-,WASHINGTON  ,DC
PO441973,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$100000.00,10/10/2012,FAMILY MEDICAL COUNSELING,"2041 MLK JR AVE, S.E. SUITE# 303  ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO441976,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$100000.00,10/10/2012,FAMILY MEDICAL COUNSELING,"2041 MLK JR AVE, S.E. SUITE# 303  ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO441982,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$200000.00,10/10/2012,FAMILY MEDICAL COUNSELING,"2041 MLK JR AVE, S.E. SUITE# 303  ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO442303,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$450000.00,10/10/2012,FAMILY MEDICAL COUNSELING,"2041 MLK JR AVE, S.E. SUITE# 303  ; WASHINGTON  ; DC  ; 20020-",WASHINGTON  ,DC
PO443823,DEPARTMENT OF MENTAL HEALTH,"PLUMBING MAINTENANCE AND REPAIR (INCLUDES TOILETS, ETC.) 60",$2940.00,10/10/2012,FRY PLUMBING & HEATING,327 L STREET NE  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO444103,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$50000.00,10/10/2012,YWCA NAT'L CAPITAL AREA,624 9TH STREET NW                                  2ND FLOOR  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO444142,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$90000.00,10/10/2012,YWCA NAT'L CAPITAL AREA,624 9TH STREET NW                                  2ND FLOOR  ; WASHINGTON  ; DC  ; 20001,WASHINGTON  ,DC
PO444145,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, HIGHWAY AND ROAD 27",$227091.42,10/10/2012,W M SCHLOSSER CO INC,2400 51ST PLACE  ; HYATTSVILLE  ; MD  ; 20781,HYATTSVILLE  ,MD
PO444108,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$36057.65,10/10/2012,"THE FAMILY PLACE, INC","3309 16TH STREET., NW   ; WASHINGTON  ; DC  ; 20010-",WASHINGTON  ,DC
PO444735,DC PUBLIC LIBRARY,ELEVATOR/ESCALATOR/MOVING WALKS CONSULTING SERVICES 39,$10599.00,10/11/2012,VERTICAL TRANSPORTATION SPECIA,4946 A EISENHOWER AVE    ; ALEXANDRIA  ; VA  ; 22304-,ALEXANDRIA  ,VA
PO444540,OFFICE OF CHIEF FINANCIAL OFFICER,COURIER/DELIVERY SERVICES (INCLUDING AIR COURIER SERVICES) 24,$3500.00,10/11/2012,FEDERAL EXPRESS,942 SOUTH SHADY GROVE RD   ; MEMPHIS  ; TN  ; 38120-,MEMPHIS  ,TN
PO444763,ALCOHOLIC BEVERAGE REGULATION ADMIN.,CASH/SECURITIES AND BONDING SERVICES 30,$2561.00,10/11/2012,GEORGIA SURETY CO INC,1301 HIGHTOWER TRAIL                               SUITE 210  ; ATLANTA  ; GA  ; 30350,ATLANTA  ,GA
PO436509,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$5465.39,10/11/2012,NIENHUIS MONTESSORI USA INC,140 EAST DANA  ; MOUNTAIN VIEW  ; CA  ; 94041,MOUNTAIN VIEW  ,CA
PO444781,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, HIGHWAY AND ROAD 27",$100000.00,10/11/2012,DAVID VOLKERT & ASSOCIATES,301                                                5400 SHAWNEE ROAD  ; ALEXANDRIA  ; VA  ; 22312,ALEXANDRIA  ,VA
PO444746,DISTRICT DEPARTMENT OF THE ENVIRONMENT,DESIGNING SERVICES 35,$97400.00,10/11/2012,LIMNOTECH,501 AVIS DRIVE  ; ANN ARBOR  ; MI  ; 48108,ANN ARBOR  ,MI
PO444734,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CAMERAS, DIGITAL, FOR WINDOWS (INCLUDING LIQUID CRYSTAL DISPLAY) 14",$63566.45,10/11/2012,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO444566,DEPARTMENT ON DISABILITY SERVICES,MEDICAL AND LABORATORY SERVICES (NON-PHYSICIAN) 55,$274000.00,10/11/2012,COLUMBUS MEDICAL SERVICES,1012 WEST NINTH AVENUE  ; KING OF PRUSSIA  ; PA  ; 19406,KING OF PRUSSIA  ,PA
PO444555,DEPARTMENT OF TRANSPORTATION,"CONSTRUCTION, HIGHWAY AND ROAD 27",$269338.00,10/11/2012,"CH2M HILL, INC.",9191 SOUTH JAMAICA STREET  ; ENGLEWOOD  ; CO  ; 80112-5946,ENGLEWOOD  ,CO
PO444556,DEPARTMENT OF TRANSPORTATION,HIGHWAYS; STREETS; AIRPORT PAY-PARKING LOTS - ARCHITECTURAL 46,$11124964.00,10/11/2012,"CH2M HILL, INC.",9191 SOUTH JAMAICA STREET  ; ENGLEWOOD  ; CO  ; 80112-5946,ENGLEWOOD  ,CO
PO382519-V2,OFFICE OF CHIEF FINANCIAL OFFICER,COLLECTION SERVICES 33,$11887.83,10/11/2012,FMS INVESTMENT CORP.,1000 EAST WOODFIELD SUITE 135  ; SCHAUMBURG  ; IL  ; 60173,SCHAUMBURG  ,IL
PO444557,DEPARTMENT OF TRANSPORTATION,TRANSPORTATION CONSULTING 96,$4900.00,10/11/2012,"JAY B. CALL, ASSO. INC.","5411 PATTERSON AVE, SUITE 100  ; RICHMOND  ; VA  ; 23226-2039",RICHMOND  ,VA
PO444562,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$325038.00,10/11/2012,"LIFE DEEDS, INC.","5035 C STREET, S.E.  ; WASHINGTON  ; DC  ; 20019",WASHINGTON  ,DC
PO444739,DC PUBLIC LIBRARY,VEHICLE TRANSPORTING SERVICES 89,$20000.00,10/11/2012,"ZIPCAR, INC.",25 FIRST STREET 4TH FLOOR  ; CAMBRIDGE  ; MA  ; 02141-,CAMBRIDGE  ,MA
PO379379-V2,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$5380.00,10/11/2012,"SUPERIOR COURIERS, LLC","1317 ANACOSTIA ROAD, SE #4                         #4  ; WASHINGTON  ; DC  ; 20019",WASHINGTON  ,DC
PO444785,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BOOKS, DIRECTORIES, MAGAZINES, PAMPHLETS, PUBLICATIONS, REPRINTS, ETC. 10",$4811.40,10/11/2012,JOHN WILEY & SONS,ONE WILEY DR.  ; SOMERSET  ; NJ  ; 08875,SOMERSET  ,NJ
PO444139,STATE SUPERINTENDENT OF EDUCATION (OSSE),"TEACHING AND INSTRUCTION SERVICES  (INCLUDING ELEMENTARY AND SECONDARY EDUCATION, HIGHER EDUCATION AND ADULT EDUCATION) 78",$65162.71,10/11/2012,COVENANT HOUSE WASHINGTON,2001 MISSISSIPPI AVENUE SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO444551,DEPARTMENT OF MOTOR VEHICLES,STORAGE SPACE RENTAL 70,$15000.00,10/11/2012,IRON MOUNTAIN,1000 CAMPUS DRIVE  ; COLLEGEVILLE  ; PA  ; 19426,COLLEGEVILLE  ,PA
PO444542,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$24000.00,10/11/2012,SAMSON T. A. AND ASSOCIATES,"37 L STREET, S.E.  ; WASHINGTON  ; DC  ; 20003",WASHINGTON  ,DC
PO444730,METROPOLITAN POLICE DEPARTMENT,"WORKSTATIONS: SPARC, RISC, ETC. (FOR USE WITH CAD/CAM, ETC.) 96",$20757.00,10/11/2012,"SUPRETECH, INC.","7600 GEORGIA AVENUE, NW #LL  ; WASHINGTON  ; DC  ; 20012-",WASHINGTON  ,DC
PO444760,OFFICE OF CHIEF FINANCIAL OFFICER,COPY MACHINE MAINTENANCE AND REPAIR 27,$463840.48,10/11/2012,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO444550,OFFICE OF UNIFIED COMMUNICATIONS,"TELECOMMUNICATIONS SYSTEMS (TELEPHONE, RADIO, ETC.) - ARCHITECTURAL 84",$461739.58,10/11/2012,"MOTOROLA, INC.",1303 E. ALGONQUIN ROAD   ; SCHAUMBURG  ; IL  ; 60196-,SCHAUMBURG  ,IL
PO444549,OFFICE OF UNIFIED COMMUNICATIONS,"TELECOMMUNICATIONS SYSTEMS (TELEPHONE, RADIO, ETC.) - ARCHITECTURAL 84",$10350.00,10/11/2012,"MOTOROLA, INC.",1303 E. ALGONQUIN ROAD   ; SCHAUMBURG  ; IL  ; 60196-,SCHAUMBURG  ,IL
PO444759,SPECIAL EDUCATION TRANSPORTATION,ALCOHOL AND DRUG TESTING SERVICES 07,$30000.00,10/11/2012,"AUTOMATION RESEARCH, INC. DBA DRUG TESTING USA",2191 JULIAN AVENUE #2  ; PALM BAY  ; FL  ; 32905,PALM BAY  ,FL
PO444787,OFFICE OF THE ATTORNEY GENERAL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,$10000.00,10/11/2012,LEXISNEXIS JUSTICELINK EFILE S,FKA LCC HOLDING COMPANY                            13427 NE 16TH STREET/STE100  ; BELLEVUE  ; WA  ; 98005,BELLEVUE  ,WA
PO444975,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"CHLORINE AND PEROXYGEN BLEACHES, ETC. 25",$5118.74,10/11/2012,GENERAL MERCHANDISE SUPPLIES,"2221 ADAMS PLACE, N.E.  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO444762,OFFICE OF CHIEF FINANCIAL OFFICER,CHECK PRINTING 13,$4208.00,10/11/2012,PROFORMA DOCUCOM SERVICES LLC,46 LANOCHE COURT  ; WILLIAMSVILLE  ; NY  ; 14221,WILLIAMSVILLE  ,NY
PO444796,DEPARTMENT OF PUBLIC WORKS,"AUTOMOBILE, TRUCK AND BUS PARTS AND EQUIPMENT 09",$95000.00,10/11/2012,TRI COUNTY PETROLEUM,PETRO CHOICE STATE ROUTE 1036  ; RIDDLESBURG  ; PA  ; 16672,RIDDLESBURG  ,PA
PO444737,OFFICE OF THE ATTORNEY GENERAL,EDUCATION AND TRAINING CONSULTING 38,$5500.00,10/11/2012,UNITED MEDICAL CENTER FOUNDATI,"1310 SOUTHERN AVENUE, S.E.  ; WASHINGTON  ; DC  ; 20032",WASHINGTON  ,DC
PO444765,DEPARTMENT OF PUBLIC WORKS,"AUTOMOBILE, TRUCK AND BUS PARTS AND EQUIPMENT 09",$2625.00,10/11/2012,IDSC HOLDINGS LLC,3011 EAST ROUTE 176  ; CRYSTAL LAKE  ; IL  ; 60014,CRYSTAL LAKE  ,IL
PO444974,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$78272.00,10/11/2012,HEALTHY FAMILIES,2400 16TH STREET NW                                #415  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO444738,OFFICE OF THE ATTORNEY GENERAL,EDUCATION AND TRAINING CONSULTING 38,$30000.00,10/11/2012,WASHINGTON HOSPITAL CENTER,2000 15TH ST N. SUITE 600   ; ARLINGTON  ; VA  ; 22201-,ARLINGTON  ,VA
PO430655-V2,DEPARTMENT OF HEALTH,,$13274.80,10/11/2012,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO428734-V2,DEPARTMENT OF TRANSPORTATION,"PAVING/RESURFACING, HIGHWAY AND ROAD 95",$1200000.00,10/11/2012,CAPITOL PAVING OF DC INC,2211 CHANNING STREET NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO444767,DEPARTMENT OF PUBLIC WORKS,"AUTOMOBILE, TRUCK AND BUS PARTS AND EQUIPMENT 09",$14000.00,10/11/2012,MONTANA DOUBLE CAR WASH,"MONTANA DOUBLE CAR WASH 2327 18TH STREET, NE  ; WASHINGTON  ; DC  ; 20018-",WASHINGTON  ,DC
PO444568,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$184684.00,10/11/2012,MARYLAND TREATMENT CENTER INC,3800 FREDERICK AVENUE   ; BALTIMORE  ; MD  ; 21229-,BALTIMORE  ,MD
PO444544,"DEPART OF INSURANCE,SECURITIES & BANKING",CARD ACCESS SECURITY SERVICES 22,$9931.00,10/11/2012,DATAWATCH SYSTEMS,4401 EAST WEST HIGHWAY                             SUITE 500  ; BETHESDA  ; MD  ; 20814,BETHESDA  ,MD
PO444727,DEPARTMENT OF PUBLIC WORKS,COMPUTER HARDWARE CONSULTING 28,$79800.00,10/11/2012,ENTERPRISE INFORMATION,9002 RED BRANCH RD   ; COLUMBIA  ; MD  ; 21045-,COLUMBIA  ,MD
PO444753,DEPARTMENT OF PUBLIC WORKS,"NETWORK COMPONENTS: ADAPTER CARDS, BRIDGES, CONNECTORS, EXPANSION MODULES/PORTS, FIREWALL DEVICES, HUBS, LINE DRIVERS, MSAUS, ROUTERS, TRANSCEIVERS, ETC. 64",$39000.00,10/11/2012,ENTERPRISE INFORMATION,9002 RED BRANCH RD   ; COLUMBIA  ; MD  ; 21045-,COLUMBIA  ,MD
PO444779,DEPARTMENT OF PUBLIC WORKS,COMPUTER HARDWARE CONSULTING 28,$82820.00,10/11/2012,ENTERPRISE INFORMATION,9002 RED BRANCH RD   ; COLUMBIA  ; MD  ; 21045-,COLUMBIA  ,MD
PO444758,DEPARTMENT OF HEALTH,ALCOHOL AND DRUG DETOXIFICATION (INCL. REHABILITATION) 05,$225000.00,10/11/2012,ANDROMEDA TRANSCULTURAL,"1400 DECATUR STREET, NW  ; WASHINGTON  ; DC  ; 20011",WASHINGTON  ,DC
PO444539,OFFICE OF CHIEF FINANCIAL OFFICER,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$3740.00,10/11/2012,GLOBAL INSIGHT,1000 WINTER ST                                     SUITE 4300N  ; WALTHAM  ; MA  ; 02451,WALTHAM  ,MA
PO438388-V2,DEPARTMENT OF GENERAL SERVICES,"BUILDING CONSTRUCTION, COMMERCIAL AND INSTITUTIONAL 24",$3026.08,10/11/2012,"TIDEWATER, INC.","8990, ROUTE 108                                    SUITE D  ; COLUMBIA  ; MD  ; 21045",COLUMBIA  ,MD
PO444764,OFFICE OF RISK MANAGEMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$3340.00,10/11/2012,WASHINGTON PHOTOCOPY CORPORATI,4380 MACARTHUR BLVD NW  ; WASHINGTON  ; DC  ; 20007,WASHINGTON  ,DC
PO444798,DEPARTMENT OF HUMAN SERVICES,"MAILING SERVICES (INCL. COLLATING, PACKAGING, SORTING AND DELIVERY) 58",$150000.00,10/11/2012,UNITED STATES POSTAL SERVICE,2833 ALABAMA AVE. SE P.O.BOX 31158  ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO444743,DC PUBLIC LIBRARY,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$20000.00,10/11/2012,YOUNG PLAYWRIGHTS THEATRE,2437 15TH ST NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO444973,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PARTNERING WORKSHOP FACILITATION SERVICES 64,$73700.00,10/11/2012,YOUNG PLAYWRIGHTS THEATRE,2437 15TH ST NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO376917-V2,OFFICE OF CHIEF FINANCIAL OFFICER,COMPUTER HARDWARE CONSULTING 28,$14088.99,10/11/2012,FIRST FEDERAL CORPORATION,75 WEST WATKINS MILL ROAD   ; GAITHERSBURG  ; MD  ; 20878-,GAITHERSBURG  ,MD
PO444747,DEPARTMENT OF GENERAL SERVICES,PURCHASING CONSULTING (INCL. SPECIFICATION DEVELOPMENT) 87,$223820.00,10/11/2012,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO444802,OFFICE OF CONTRACTING AND PROCUREMENT,"PERSONNEL SERVICES, TEMPORARY 69",$15000.00,10/11/2012,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO444752,DEPARTMENT OF GENERAL SERVICES,PURCHASING CONSULTING (INCL. SPECIFICATION DEVELOPMENT) 87,$53000.00,10/11/2012,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO444748,DEPARTMENT OF GENERAL SERVICES,PURCHASING CONSULTING (INCL. SPECIFICATION DEVELOPMENT) 87,$39740.00,10/11/2012,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO444750,DEPARTMENT OF GENERAL SERVICES,PURCHASING CONSULTING (INCL. SPECIFICATION DEVELOPMENT) 87,$64250.00,10/11/2012,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO444751,DEPARTMENT OF GENERAL SERVICES,PURCHASING CONSULTING (INCL. SPECIFICATION DEVELOPMENT) 87,$53000.00,10/11/2012,MIDTOWN PERSONNEL INC,"900 7TH STREET, NW SUITE 725  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO444809,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$146491.00,10/11/2012,"CARL VOGEL FOUNDATION,INC","DBA CARL VOGEL FOUNDATION,INC 1012 14TH STREET NW SUITE 700  ; WASHINGTON  ; DC  ; 20005-",WASHINGTON  ,DC
PO422496-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),TRANSLATION SERVICES 75,$25000.00,10/11/2012,"THE LANGUAGE DOCTORS, INC","500 H STREET, NE SUITE 300  ; WASHINGTON  ; DC  ; 20002-",WASHINGTON  ,DC
PO444755,DEPARTMENT OF HEALTH,PERSONNEL/EMPLOYMENT CONSULTING 85,$100000.00,10/11/2012,NATIONAL NURSES SEVICES INC,8630 FENTON STREET                                 STE 222  ; SILVER SPRING  ; MD  ; 20910,SILVER SPRING  ,MD
PO444784,STATE SUPERINTENDENT OF EDUCATION (OSSE),PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$85000.02,10/11/2012,FRANCES RASKIN,"333 F STREET, N.E.  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO444811,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$12000.00,10/11/2012,HOWARD UNIVERSITY HOSPITAL,"2041 GEORGIA AVENUE, NW SUITE 2078  ; WASHINGTON  ; DC  ; 20060-",WASHINGTON  ,DC
PO444766,DEPARTMENT OF PUBLIC WORKS,"AUTOMOBILE, TRUCK AND BUS PARTS AND EQUIPMENT 09",$100000.00,10/11/2012,PRECISION MACHINE HYDRAULIC &,234 MAIN STREET                                    P O BOX 347  ; WORTHINGTON  ; WV  ; 26591,WORTHINGTON  ,WV
PO444776,SPECIAL EDUCATION TRANSPORTATION,ARMORED CAR SERVICES 10,$3000.00,10/11/2012,"DUNBAR ARMORED, INC.",50 SCHILLING ROAD  ; HUNT VALLEY  ; MD  ; 21031,HUNT VALLEY  ,MD
PO444754,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$70000.00,10/11/2012,GREENLAWN CEMETERY INC.,127 BRITNER AVE.  ; WILLIAMSPORT  ; MD  ; 21795,WILLIAMSPORT  ,MD
